n_neighborhoods,n_estimators,kernel_bandwidth,kernel_type,max_depth,train_score,test_score
6,114,0.008708504901358707,tophat,9,25.704492200801496,33.53936295749921
5,35,0.00270047684311747,tophat,10,23.47360095936358,33.56309444794283
7,125,0.008751530467598901,exponential,9,25.438651040081595,33.56794324191796
7,55,0.0016937337020196618,exponential,10,23.484633097888974,33.60784515952247
5,62,0.0033682303404447625,gaussian,11,21.676201149276352,33.7197065301645
9,47,0.002786595808066567,gaussian,8,27.634567159509203,33.75905925156414
4,107,0.0022603223443734663,exponential,9,25.11713144284508,33.81856493748444
8,36,0.004488257844913489,exponential,9,25.13582495136572,33.86031307457242
9,60,0.005548984699019282,gaussian,10,23.4993965191658,33.94662648387617
4,95,0.0012045854042131315,gaussian,9,25.37850337043315,34.01799480341231
11,89,0.0002476047575794091,tophat,11,21.423667669332247,34.01807653306969
6,15,0.00703220685006781,tophat,6,31.489528291262758,34.03190722042035
3,84,0.005874462292198302,tophat,10,23.32350737921125,34.06313202013996
4,69,0.008329937547687589,exponential,9,25.29639658060792,34.07699945676737
8,17,0.00920642531812551,tophat,7,29.32600560841331,34.08381952440433
6,108,0.005151716962389915,exponential,9,25.3941533249253,34.09742752019858
10,136,0.008791044640690547,gaussian,8,27.456943651050892,34.09825350312582
8,147,0.0028275605212058972,exponential,11,21.222730093141337,34.104748903490616
4,70,0.006158553510230827,tophat,7,29.542970175190916,34.10700985340142
9,17,0.00023681242320940413,tophat,10,23.64563885883382,34.108911068486066
4,91,0.0019924085895410676,tophat,7,29.129001447969188,34.11161588976819
8,90,0.0020592202926045682,tophat,11,21.66752107284725,34.12147274450251
8,81,0.006874745429960461,exponential,9,25.355747637759464,34.170657738843715
11,106,0.005362691632414569,gaussian,9,25.261515640572043,34.179895634139825
8,127,0.0008253992303509911,exponential,7,30.1365584694245,34.197055804864306
11,134,0.00711412185116992,gaussian,10,23.504424666031184,34.19919994590333
10,15,0.0019248263109820658,tophat,9,25.18782422382111,34.204102585351166
6,143,0.0023338655443280853,exponential,7,29.342872106348622,34.21189264182894
9,104,0.0045408134132148845,exponential,9,25.328442066078765,34.25080029759863
4,22,0.006622680496355825,tophat,11,21.3236897276212,34.25111390268353
9,117,0.002394634606455726,exponential,10,23.145687364699,34.25261228631197
6,13,0.00902080063623802,gaussian,7,29.369777652440064,34.276745693011094
10,32,0.004767163399533929,tophat,6,31.234342153333785,34.27821694322398
5,37,0.00289087551971511,exponential,10,23.580464562280326,34.28199165792822
5,27,0.009159438874967882,tophat,11,21.436372015411337,34.28600762948855
11,141,0.008336023762949828,gaussian,10,23.523463967805156,34.29758668074571
5,62,0.0023908991108318386,exponential,6,31.30722843340851,34.300444387359846
11,20,0.006593846765248977,gaussian,7,29.727152792845672,34.303281174471266
4,106,0.007490227684882344,gaussian,9,25.23414048569711,34.30916874192191
10,73,0.008650552220036425,exponential,8,27.64259969679449,34.31607875338
7,52,0.0068476338687683625,exponential,8,27.210750496607318,34.31875798351544
6,75,0.001173318338339598,tophat,5,33.11601292411302,34.33088422016681
11,98,0.0017050777814486176,tophat,8,27.197634874193596,34.33116691206473
3,61,0.006253624994311212,gaussian,9,25.692115741050202,34.33534357173657
7,77,0.005325232039844574,gaussian,9,25.5228162466818,34.33746504273407
7,114,0.005493681547135753,gaussian,8,27.24443018122173,34.352099202867606
6,46,0.0048156824065461925,gaussian,8,26.816881310447712,34.35263582900487
9,70,0.0015256146497168264,exponential,8,27.16139487790477,34.36285735573108
4,114,0.008973430117952486,gaussian,10,23.18754361681229,34.37826438865207
4,75,0.00942892896626106,exponential,7,29.059846211407773,34.382111873017294
3,120,0.008248952059715908,tophat,10,23.540407441471814,34.41677724729777
8,142,0.007117518678286858,exponential,10,23.49786866981404,34.42692515887745
5,57,0.009735324703887714,exponential,6,31.51991603130432,34.42875162663657
3,112,0.009124402995741744,exponential,10,23.332543064309334,34.43858845561026
4,118,0.007976596736542512,exponential,11,21.301184606826695,34.44627358749062
7,127,0.0019683857610309913,tophat,9,25.540708630055647,34.4525673193572
7,124,0.002477855913872626,tophat,8,27.675603620209984,34.45374557183794
4,54,0.0009990052838685461,tophat,8,27.32874765625499,34.46286501723068
5,129,0.006484317737319545,exponential,8,27.450240554459583,34.469311314908026
5,44,0.0018553706698873544,exponential,7,29.741981826614534,34.47183081846123
5,63,0.0006165461985386642,exponential,11,21.562958112894677,34.47489399921193
11,46,0.006806124257620822,exponential,8,27.50037153418029,34.475590169679165
9,52,0.007414213327516258,exponential,6,32.02911885134931,34.4785732703605
9,108,0.009843165377875135,tophat,8,27.651798513549352,34.484006554335025
7,132,0.006290186254199103,tophat,9,25.50619696597778,34.486129826951014
9,112,0.005696251347151853,gaussian,10,23.77728265240998,34.49499489267771
9,24,0.007151908460010459,exponential,6,31.1425697489191,34.49806051715228
3,12,0.0062361459115122505,gaussian,7,29.35275107750894,34.50005963034479
9,137,0.009244037724174871,tophat,10,23.43929941423923,34.508072464757305
3,144,0.00022842403386392378,gaussian,9,25.62409553393826,34.51301166591588
8,114,0.008012522547292398,exponential,10,23.304470413063626,34.52865315677619
6,37,0.003313665674063395,tophat,9,25.33483913049548,34.53190393850741
5,110,0.0019294145975865737,exponential,9,25.44453797884512,34.532430127616436
10,47,0.0006140043857038285,gaussian,5,33.002390268533446,34.54091433735756
4,126,0.004049059995104764,gaussian,9,25.511697932902607,34.54232407082961
3,146,0.0024735253147356875,exponential,10,23.328780506777917,34.5438874229868
7,26,0.0037838270359805064,gaussian,7,29.045288027769715,34.54915876278628
9,71,0.001759475576096785,exponential,8,27.363699210680892,34.549658250499576
10,94,0.00010270347346285555,gaussian,8,27.39343612410228,34.5553709630621
7,34,0.009400471452181414,tophat,5,32.68467512576083,34.556964221701065
7,17,0.0008588060021240385,exponential,7,29.051989622443216,34.56063568124952
8,125,0.0075954889339507935,tophat,5,33.3505860732574,34.56698426022422
3,148,0.007868897268823383,gaussian,10,23.5321317037793,34.572029276205285
11,68,0.00298074198960031,gaussian,10,23.272127181449008,34.57442544588079
11,97,0.004492841991127082,tophat,8,27.21440702596763,34.57820283602996
10,125,0.009679525647102755,tophat,8,27.623314961361586,34.58506763815487
6,41,0.00921221190570624,exponential,8,27.883402407675433,34.61091582092271
5,79,0.005194056161453928,gaussian,7,29.361650152755544,34.61474219985335
4,120,0.008576332203463514,exponential,6,31.478101497341896,34.62748533966584
7,120,0.008512621217264836,gaussian,8,27.666783269350162,34.637290299717534
5,79,0.003013754710325614,exponential,5,33.13832884559997,34.639783012029454
7,144,0.004756511551389842,gaussian,11,21.743083885847312,34.640047345198326
8,103,0.008022175897380671,gaussian,9,25.646895556161866,34.64046694289749
8,101,0.004718885525922286,exponential,8,27.52730384176546,34.64282266796607
11,92,0.0033922675687386,gaussian,9,25.32581348874686,34.64527689786499
11,83,0.0005379543927568256,exponential,5,33.50249144580707,34.6463230800031
3,147,0.006570432284494017,gaussian,9,25.225122372297818,34.64837944733699
9,149,0.007115769717720904,exponential,7,29.227090882981884,34.652552051263854
9,86,0.004020068740150358,exponential,8,27.405857625810086,34.65664274190712
6,81,0.0036869880341876436,tophat,7,29.649958624075424,34.66258130415977
11,136,0.003016015288274176,exponential,9,25.06501998991743,34.6626074555158
8,141,0.007593843296526036,tophat,10,23.136493852731434,34.66641419595027
5,79,0.0010616836183824775,gaussian,7,29.696826866441967,34.666590895717064
10,147,0.006118147294362799,tophat,9,25.507641157334433,34.67025088973986
5,60,0.0007113987269293914,tophat,8,27.626694509315413,34.67214834193254
10,39,0.007748214949170878,gaussian,8,27.28304908582217,34.67492657393265
5,119,0.002986724444353559,tophat,9,25.30312400646052,34.68084704443464
3,87,0.008536440016270162,gaussian,9,25.127045907750016,34.68543258805633
10,92,0.0020003946523608623,gaussian,9,25.367369680581305,34.690731536265645
4,144,0.0025930422148368612,exponential,6,31.34337179259279,34.70903556973232
8,34,0.0036618102567920925,tophat,7,28.969886824596045,34.71467011615849
9,75,0.004782411880484191,exponential,8,27.61674134526791,34.72303884829746
11,24,0.0032685266205392987,tophat,8,28.00188036666532,34.72494261044568
9,23,0.004374900421078393,gaussian,5,32.761092768246755,34.72932639762993
6,127,0.004262987961471242,exponential,10,23.38913549924797,34.731547135473136
9,105,0.009034088030352615,exponential,10,23.374736426847647,34.73353791660682
11,59,0.0077243548602903235,exponential,10,23.334573324023452,34.73544591780967
8,70,0.006771689232244138,gaussian,5,33.4537728773677,34.73637835814202
10,82,0.0028416984177712613,gaussian,7,29.337226432329857,34.738491909316
7,140,0.0023957772293314427,gaussian,9,25.391137097779435,34.74067064301491
3,113,0.009504196538553536,exponential,11,21.760049994171467,34.74220544472831
7,102,0.006135712910113845,tophat,11,21.501329743789483,34.74614402395457
11,131,0.005227865148803669,exponential,9,25.43176384956672,34.75388195163097
10,38,0.00838905606461427,tophat,8,27.75726261750262,34.757018397899884
7,87,0.005762630554283579,gaussian,10,23.544185867179834,34.75848366146312
11,69,0.002095190978615275,tophat,10,23.352416400363012,34.76434893768038
6,109,0.003040589148291115,exponential,7,29.66282879784744,34.76569806855417
3,42,0.0005835476224026838,gaussian,7,29.832968161651394,34.77065173984582
11,60,0.00014397221528685456,exponential,8,27.448497641670997,34.77411141738703
10,52,0.0030250381315461653,exponential,11,21.4548590064893,34.777049913091204
8,129,0.006061243272197167,tophat,10,23.031223568213974,34.77820702943697
10,109,0.001398533959401745,exponential,5,33.150352402277576,34.78088864461688
11,43,0.009861554463358912,gaussian,5,33.00859194478011,34.78979067115611
6,109,0.0004989675008668803,tophat,9,25.31935785782038,34.79420855404453
5,30,0.007323997661515066,tophat,9,25.567956399098833,34.79600840965611
11,116,0.002742260824709596,gaussian,9,25.674432071832115,34.79625973072655
11,112,0.0050269613543921995,gaussian,8,27.480697257825966,34.79706356148401
8,65,0.00910080761940964,tophat,8,27.427304419361178,34.79826800616462
6,126,0.0007208800067787868,exponential,11,21.57944879878724,34.80189937800452
8,63,0.0038638844698514886,exponential,9,25.328170745908295,34.80221654106852
3,139,0.006350203693506266,exponential,9,25.445450630610694,34.80560715304179
3,90,0.004693167609413196,tophat,9,25.370141949045177,34.81061779475726
3,55,0.006184628205905938,tophat,11,22.01474048885447,34.81292384856897
5,41,0.004616718189112425,gaussian,8,27.518692990256255,34.81349137121083
4,88,0.0036788518644948844,gaussian,6,31.591556147110225,34.81358031546884
3,90,0.008141761844845951,gaussian,9,25.507398033203714,34.813741256172364
10,13,0.006569534062802024,exponential,7,29.402052226696384,34.81379094158672
6,32,0.006100527185866784,exponential,6,31.60603534222642,34.8338400555124
9,37,0.0027801403881206974,tophat,11,21.196880559408797,34.83389758627817
