SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,445 Main St #1,Boston,MA,02129,749900,2,2.0,Charlestown,1069,,1875,13,701,275,Active,,,http://www.redfin.com/MA/Boston/445-Main-St-02129/unit-1/home/28545498,MLS PIN,72450192,N,Y,42.3818886,-71.0710909
MLS Listing,,Condo/Co-op,314 Sumner St #2,Boston,MA,02128,599900,2,1.0,East Boston's Jeffries Point,830,,1910,20,723,189,Active,,,http://www.redfin.com/MA/Boston/314-Sumner-St-02128/unit-2/home/105519373,MLS PIN,72447397,N,Y,42.3675753,-71.0361757
MLS Listing,,Condo/Co-op,120 W 7Th St #204,Boston,MA,02127,685000,2,2.0,Boston,1076,1076,1910,40,637,288,Active,,,http://www.redfin.com/MA/Boston/120-W-7th-St-02127/unit-204/home/9319082,MLS PIN,72439340,N,Y,42.3360342,-71.0531296
MLS Listing,,Single Family Residential,1 Murray Ave,Boston,MA,02119,749999,5,2.5,Roxbury,2044,2469,1900,41,367,,Active,,,http://www.redfin.com/MA/Boston/1-Murray-Ave-02119/home/9291601,MLS PIN,72439067,N,Y,42.3218053,-71.0779
MLS Listing,,Single Family Residential,1024 Morton St,Boston,MA,02126,539900,4,1.5,Mattapan,1712,4906,1920,105,315,,Active,,,http://www.redfin.com/MA/Mattapan/1024-Morton-St-02126/home/9098702,MLS PIN,72420548,N,Y,42.2779956,-71.0783991
Redfin Data,,Condo/Co-op,1716 Cambridge St Apt 22,Cambridge,MA,02138,599000,1,1.0,Cambridge,833,,1940,2,719,,Pre On-Market,,,http://www.redfin.com/MA/Cambridge/1716-Cambridge-St-02138/unit-22/home/11571406,Coming Soon,26396,N,Y,42.3749764,-71.1126086
MLS Listing,,Condo/Co-op,59 Greaton Rd #2,Boston,MA,02132,499000,3,1.0,West Roxbury,1180,,1928,1,423,225,Active,February-23-2019 12:00 PM,February-23-2019 01:30 PM,http://www.redfin.com/MA/Boston/59-Greaton-Rd-02132/unit-2/home/160497601,MLS PIN,72454805,N,Y,42.2899724,-71.1507141
MLS Listing,,Condo/Co-op,16 Boardman St #301,Boston,MA,02128,609900,2,2.0,East Boston,999,,2018,1,611,303,Active,,,http://www.redfin.com/MA/Boston/16-Boardman-St-02128/unit-301/home/160497560,MLS PIN,72454802,N,Y,42.3874289,-71.0089407
MLS Listing,,Condo/Co-op,168 Chestnut Ave #3,Boston,MA,02130,539000,2,1.0,Jamaica Plain,987,,1905,1,546,304,Active,,,http://www.redfin.com/MA/Boston/168-Chestnut-Ave-02130/unit-3/home/9138991,MLS PIN,72454763,N,Y,42.3169959,-71.1066374
MLS Listing,,Condo/Co-op,700 Harrison Ave #314,Boston,MA,02118,1250000,2,2.0,South End,1251,,2006,1,999,549,Active,,,http://www.redfin.com/MA/Boston/700-Harrison-Ave-02118/unit-314/home/12311566,MLS PIN,72454753,N,Y,42.3384041,-71.070437
MLS Listing,,Condo/Co-op,77 Byron St #3,Boston,MA,02128,519000,2,1.5,East Boston,905,,1900,1,573,189,Active,,,http://www.redfin.com/MA/Boston/77-Byron-St-02128/unit-3/home/160497162,MLS PIN,72454750,N,Y,42.3842616,-71.0185987
MLS Listing,,Multi-Family (2-4 Unit),432 Washington St,Boston,MA,02124,1050000,9,3.0,Boston,4338,4103,1905,1,242,,Active,,,http://www.redfin.com/MA/Dorchester-Center/432-Washington-St-02124/home/9065709,MLS PIN,72454741,N,Y,42.2964818,-71.0719459
MLS Listing,,Condo/Co-op,1 Charles St S Ph 105,Boston,MA,02116,1799000,2,2.0,Back Bay,1229,1229,2004,1,1464,1551,Active,February-23-2019 11:15 AM,February-23-2019 12:30 PM,http://www.redfin.com/MA/Boston/1-Charles-St-S-02116/unit-105/home/9329378,MLS PIN,72454738,N,Y,42.3513199,-71.0674769
MLS Listing,,Multi-Family (2-4 Unit),1772 Columbia Rd,Boston,MA,02127,2850000,12,6.0,South Boston,4005,3311,1912,1,712,,Active,,,http://www.redfin.com/MA/Boston/1772-Columbia-Rd-02127/home/9191861,MLS PIN,72454734,N,Y,42.3311693,-71.0310424
